productores_sociedad_matricula,productores_sociedad_tipo_id,productores_sociedad_id,productores_sociedad_denominacion,ramo
1033,CUIT,33710648749,ORGANIZACION SPERANZA S.A. ,Patrimoniales y Vida
1034,CUIT,30710705336,MG GROUP CONSULTING S.R.L. ,Patrimoniales y Vida
1035,CUIT,30710418930,PRODUCTORA DELMAR ASOCIADA S.A. ,Patrimoniales y Vida
1036,CUIT,30710811179,FRANKFURT BROKER SOCIEDAD DE PRODUCTORES ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
1037,CUIT,30710594232,JANA BROKERS S.R.L. ,Patrimoniales y Vida
1038,CUIT,30710419252,A & S BROKER ASESORAMIENTO Y SERVICIO S.A. ,Patrimoniales y Vida
1040,CUIT,30710713711,ADRIES S.R.L. ,Patrimoniales y Vida
1041,CUIT,30710836422,B&G BROKERS S.R.L. ,Patrimoniales y Vida
1042,CUIT,30710770863,ORGANIZACION GTS S.R.L. ,Patrimoniales y Vida
1043,CUIT,33710820029,POWERMARKET BROKERS S.R.L. ,Patrimoniales y Vida
1044,CUIT,30710810598,PASIECZNIK Y ASOCIADOS SOCIEDAD DE RESPONSABILIDAD LIMITADA ,Patrimoniales y Vida
1047,CUIT,30710651775,ORGANIZACION TORZILLI S.A. ,Patrimoniales y Vida
1048,CUIT,30710863985,PRODUCTORA AGM S.A ,Patrimoniales y Vida
